"LOCATION","Country","SEX","Sex","AGE","Age","VAR","Variant","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2009","2009","PER","Persons","3","Thousands",,,61423.72,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2010","2010","PER","Persons","3","Thousands",,,61914.64,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2011","2011","PER","Persons","3","Thousands",,,62435.2,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2012","2012","PER","Persons","3","Thousands",,,62858.8,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2013","2013","PER","Persons","3","Thousands",,,63237.94,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2014","2014","PER","Persons","3","Thousands",,,63650.01,"B","Break"
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2015","2015","PER","Persons","3","Thousands",,,64531.75,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2016","2016","PER","Persons","3","Thousands",,,64975.41,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2017","2017","PER","Persons","3","Thousands",,,65421.08,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2018","2018","PER","Persons","3","Thousands",,,65867.23,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2019","2019","PER","Persons","3","Thousands",,,66312.23,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2020","2020","PER","Persons","3","Thousands",,,66754.05,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2021","2021","PER","Persons","3","Thousands",,,67190.92,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2022","2022","PER","Persons","3","Thousands",,,67621.26,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2023","2023","PER","Persons","3","Thousands",,,68043.7,,
"GBR","United Kingdom","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2024","2024","PER","Persons","3","Thousands",,,68457.76,,
