,predicted_mean
2020-05-01 00:00:00+00:00,11387852.255439462
2020-06-01 00:00:00+00:00,9544189.70411191
2020-07-01 00:00:00+00:00,9545449.975321975
2020-08-01 00:00:00+00:00,8792315.145798678
2020-09-01 00:00:00+00:00,10554620.530402765
2020-10-01 00:00:00+00:00,11923368.220204312
2020-11-01 00:00:00+00:00,13628903.3618466
2020-12-01 00:00:00+00:00,13796693.094051188
2021-01-01 00:00:00+00:00,15029094.161920143
2021-02-01 00:00:00+00:00,15365632.81628553
2021-03-01 00:00:00+00:00,15463837.684792947
2021-04-01 00:00:00+00:00,15183367.842599822
2021-05-01 00:00:00+00:00,12713331.86094711
2021-06-01 00:00:00+00:00,10696760.287404751
2021-07-01 00:00:00+00:00,11081139.510453055
2021-08-01 00:00:00+00:00,10236452.279502641
2021-09-01 00:00:00+00:00,12285632.242655214
2021-10-01 00:00:00+00:00,13499241.335474126
2021-11-01 00:00:00+00:00,15218752.201130671
2021-12-01 00:00:00+00:00,15044412.819916587
2022-01-01 00:00:00+00:00,16768090.467296878
2022-02-01 00:00:00+00:00,17307461.123943716
2022-03-01 00:00:00+00:00,17769891.191471525
2022-04-01 00:00:00+00:00,16943401.929852057
2022-05-01 00:00:00+00:00,14407265.215595927
2022-06-01 00:00:00+00:00,12367284.154369999
2022-07-01 00:00:00+00:00,12743372.938083917
2022-08-01 00:00:00+00:00,11895749.658925775
2022-09-01 00:00:00+00:00,13943889.82445962
2022-10-01 00:00:00+00:00,15157130.674316762
2022-11-01 00:00:00+00:00,16876511.127211776
2022-12-01 00:00:00+00:00,16702125.560489383
2023-01-01 00:00:00+00:00,18425786.851332534
2023-02-01 00:00:00+00:00,18965151.715333212
2023-03-01 00:00:00+00:00,19427579.731402986
2023-04-01 00:00:00+00:00,18601089.74326235
2023-05-01 00:00:00+00:00,16064952.771709701
2023-06-01 00:00:00+00:00,14024971.619362548
2023-07-01 00:00:00+00:00,14401060.370806003
2023-08-01 00:00:00+00:00,13553437.080219321
2023-09-01 00:00:00+00:00,15601577.241705762
2023-10-01 00:00:00+00:00,16814818.09012952
2023-11-01 00:00:00+00:00,18534198.542516902
2023-12-01 00:00:00+00:00,18359812.975614734
2024-01-01 00:00:00+00:00,20083474.266394213
2024-02-01 00:00:00+00:00,20622839.13037234
2024-03-01 00:00:00+00:00,21085267.146434132
2024-04-01 00:00:00+00:00,20258777.15829067
2024-05-01 00:00:00+00:00,17722640.18673702
2024-06-01 00:00:00+00:00,15682659.034389514
2024-07-01 00:00:00+00:00,16058747.785832845
2024-08-01 00:00:00+00:00,15211124.495246118
2024-09-01 00:00:00+00:00,17259264.656732544
2024-10-01 00:00:00+00:00,18472505.5051563
2024-11-01 00:00:00+00:00,20191885.95754368
2024-12-01 00:00:00+00:00,20017500.39064151
2025-01-01 00:00:00+00:00,21741161.681420993
2025-02-01 00:00:00+00:00,22280526.545399126
2025-03-01 00:00:00+00:00,22742954.561460916
2025-04-01 00:00:00+00:00,21916464.57331745
2025-05-01 00:00:00+00:00,19380327.6017638
2025-06-01 00:00:00+00:00,17340346.449416295
2025-07-01 00:00:00+00:00,17716435.200859625
2025-08-01 00:00:00+00:00,16868811.9102729
2025-09-01 00:00:00+00:00,18916952.07175933
2025-10-01 00:00:00+00:00,20130192.920183085
2025-11-01 00:00:00+00:00,21849573.372570466
2025-12-01 00:00:00+00:00,21675187.805668294
2026-01-01 00:00:00+00:00,23398849.096447777
2026-02-01 00:00:00+00:00,23938213.96042591
2026-03-01 00:00:00+00:00,24400641.9764877
2026-04-01 00:00:00+00:00,23574151.988344233
2026-05-01 00:00:00+00:00,21038015.016790584
2026-06-01 00:00:00+00:00,18998033.86444308
2026-07-01 00:00:00+00:00,19374122.61588641
2026-08-01 00:00:00+00:00,18526499.325299684
2026-09-01 00:00:00+00:00,20574639.486786112
2026-10-01 00:00:00+00:00,21787880.33520987
2026-11-01 00:00:00+00:00,23507260.78759725
2026-12-01 00:00:00+00:00,23332875.22069508
2027-01-01 00:00:00+00:00,25056536.51147456
